method	lang	lm	runtime_glossary	metric_denominator	bleu	streamlaal_ms	term_acc_pct	real_adopt_pct	term_fcr_pct	source	note	eval_tsv	instances_log
RASST (New V9 + HN1024)	zh	1	tagged_raw	tagged_raw_fixed	44.4102	1236.7205	85.39	89.40	13.01	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_hn1024_tau078_raw_zh_lm1_max256_20260524T1442_tagacl_same_lm_batch_v1exact_hn1024_tau078_raw_zh_lm1_max256_taurus45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078_same_lm_batch_v1_max256/zh/dtagacl_same_lm_batch_v1_hn1024_tau078_max256_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	Taurus same-lm batch max256 raw run; output <term> tags stripped before scoring.	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_hn1024_tau078_raw_zh_lm1_max256_20260524T1442_tagacl_same_lm_batch_v1exact_hn1024_tau078_raw_zh_lm1_max256_taurus45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078_same_lm_batch_v1_max256/zh/dtagacl_same_lm_batch_v1_hn1024_tau078_max256_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_hn1024_tau078_raw_zh_lm1_max256_20260524T1442_tagacl_same_lm_batch_v1exact_hn1024_tau078_raw_zh_lm1_max256_taurus45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078_same_lm_batch_v1_max256/zh/dtagacl_same_lm_batch_v1_hn1024_tau078_max256_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log
RASST (New V9 + HN1024)	zh	2	tagged_raw	tagged_raw_fixed	49.6099	1861.8699	88.88	90.37	12.41	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	Aries verified raw run; output <term> tags stripped before scoring.	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log
RASST (New V9 + HN1024)	zh	3	tagged_raw	tagged_raw_fixed	50.1545	2342.6068	89.89	91.08	8.07	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	Aries verified raw run; output <term> tags stripped before scoring.	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log
RASST (New V9 + HN1024)	zh	4	tagged_raw	tagged_raw_fixed	50.8145	2785.5040	90.00	92.12	9.40	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm4_20260524T0555_tagacl_newv9_hn1024_tau078_raw_zh_lm4_aries45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	Aries verified raw run; output <term> tags stripped before scoring.	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm4_20260524T0555_tagacl_newv9_hn1024_tau078_raw_zh_lm4_aries45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm4_20260524T0555_tagacl_newv9_hn1024_tau078_raw_zh_lm4_aries45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log
RASST (New V9 + HN1024)	zh	1	tagged_gs1k	tagged_raw_fixed	46.9162	1320.2466	86.29	89.84	10.32	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm1/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm1_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	PSC posthoc strip recheck; fixed raw tagged denominator.	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm1/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm1_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm1/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm1_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/instances.strip_term.log
RASST (New V9 + HN1024)	zh	2	tagged_gs1k	tagged_raw_fixed	48.7430	1926.7497	89.10	90.48	12.76	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm2/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm2_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	PSC posthoc strip recheck; fixed raw tagged denominator.	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm2/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm2_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm2/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm2_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/instances.strip_term.log
RASST (New V9 + HN1024)	zh	3	tagged_gs1k	tagged_raw_fixed	49.8246	2427.2251	88.09	89.99	7.95	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm3/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm3_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	PSC posthoc strip recheck; fixed raw tagged denominator.	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm3/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm3_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm3/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm3_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/instances.strip_term.log
RASST (New V9 + HN1024)	zh	4	tagged_gs1k	tagged_raw_fixed	50.2348	2823.8464	89.10	91.36	9.33	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm4/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm4_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	PSC posthoc strip recheck; fixed raw tagged denominator.	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm4/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm4_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm4/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm4_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/instances.strip_term.log
RASST (New V9 + HN1024)	zh	1	tagged_gs10k	tagged_raw_fixed	46.1979	1373.0813	84.61	88.11	9.38	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs10k/lm1/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm1_k10_th0.78_gacl6060_tagged_gt_union_gs10000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	PSC posthoc strip recheck; fixed raw tagged denominator.	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs10k/lm1/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm1_k10_th0.78_gacl6060_tagged_gt_union_gs10000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs10k/lm1/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm1_k10_th0.78_gacl6060_tagged_gt_union_gs10000_min_norm2_backfill/instances.strip_term.log
RASST (New V9 + HN1024)	zh	2	tagged_gs10k	tagged_raw_fixed	49.0672	1913.4310	88.54	90.29	8.87	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs10k/lm2/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm2_k10_th0.78_gacl6060_tagged_gt_union_gs10000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	PSC posthoc strip recheck; fixed raw tagged denominator.	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs10k/lm2/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm2_k10_th0.78_gacl6060_tagged_gt_union_gs10000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs10k/lm2/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm2_k10_th0.78_gacl6060_tagged_gt_union_gs10000_min_norm2_backfill/instances.strip_term.log
