lm	source	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM	status	path
1	main_tsv_current	26.6342	1005.4469	1706.9372	0.7914	740/935	verified	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_denoise_lm14_serial_chunks30_aries_20260525T1504_tagged_acl_de_cap16_denoise_lm14_serial_chunks30_aries/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30/de/dtagacl_serial_dedenoise_ttag_hn1024_tau078_omit_chunks30_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
1	old_serial_cache30_max40lm	26.15909065947949	1001.5767255114499	1514.398895356601	0.7989	747/935	verified_serial	/mnt/data1/jiaxuanluo/main_result_rasst_serial_de_ja_cache30_max40lm_20260525T215831_main_result_rasst_serial_de_ja_cache30_max40lm_taurus_retry1/acl_tagged_raw/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30_max40lm/de/dmainres_acl_serial_de_cap16denoise_ttag_hn1024_tau078_omit_chunks30_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
1	promptfix_audioauto_cache30	26.418040229039875	1026.385754001975	1532.669609766043	0.8107	758/935	verified_promptfix	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_20260526T003437_tagged_acl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_taurus/de/dtagacl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
2	main_tsv_current	29.5239	1579.3577	2864.4830	0.8406	786/935	verified	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_denoise_lm23_batch_aries_20260525T172158_deacl23_jamed1234_cap16denoise_aries/de_cap16_denoise_ttag_hn1024_tau078_omit_batch_chunks30_lm23_aries/de/dtagacl_bv1_decap16den_ttag_hn1024_tau078_omit_chunks30_lm23_aries_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
2	old_serial_cache30_max40lm	31.575840295455958	1666.922910496309	2414.386008624121	0.8299	776/935	verified_serial	/mnt/data1/jiaxuanluo/main_result_rasst_serial_de_ja_cache30_max40lm_20260525T215831_main_result_rasst_serial_de_ja_cache30_max40lm_taurus_retry1/acl_tagged_raw/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30_max40lm/de/dmainres_acl_serial_de_cap16denoise_ttag_hn1024_tau078_omit_chunks30_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
2	promptfix_audioauto_cache30	31.060724823616383	1644.5313398082876	2454.0729397639625	0.8353	781/935	verified_promptfix	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_20260526T003438_tagged_acl_de_lm2_serial_promptfix_cache30_audioauto_max40lm_taurus/de/dtagacl_de_lm2_serial_promptfix_cache30_audioauto_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
3	main_tsv_current	32.7061	2209.1550	3083.8749	0.8481	793/935	verified	/mnt/gemini/data1/jiaxuanluo/tagged_acl_de_cap16_denoise_lm23_batch_aries_20260525T172158_deacl23_jamed1234_cap16denoise_aries/de_cap16_denoise_ttag_hn1024_tau078_omit_batch_chunks30_lm23_aries/de/dtagacl_bv1_decap16den_ttag_hn1024_tau078_omit_chunks30_lm23_aries_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
3	old_serial_cache30_max40lm	29.98535978162712	2106.7427758303306	3100.0081166242003	0.8246	771/935	verified_serial	/mnt/data1/jiaxuanluo/main_result_rasst_serial_de_ja_cache30_max40lm_20260525T215831_main_result_rasst_serial_de_ja_cache30_max40lm_taurus_retry1/acl_tagged_raw/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30_max40lm/de/dmainres_acl_serial_de_cap16denoise_ttag_hn1024_tau078_omit_chunks30_max40lm_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
3	promptfix_audioauto_cache30	29.451921304873462	2111.393892896837	3063.9222516891473	0.8203	767/935	verified_promptfix	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_20260526T002820_tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_taurus/de/dtagacl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
3	promptfix_vllmaudio128_cache30	29.63781920198487	2083.4970528212816	3029.459963710615	0.8267	773/935	verified_promptfix	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_max40lm_20260526T010249_tagged_acl_de_lm3_serial_promptfix_cache30_vllmaudio128_max40lm_taurus/de/dtagacl_de_lm3_serial_promptfix_cache30_max40lm_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
