lm	source	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM	status
1	main_tsv_current	21.6332	1495.6056	2159.8193	0.8170	768/940	verified
1	old_serial_cache30_max40lm	23.715897465361184	1451.949077137548	2119.208748666045	0.8170	768/940	verified_serial
1	new_promptfix_vllmaudio128	23.92843536449802	1560.9684599085078	2199.9265844176784	0.8149	766/940	verified_promptfix
2	main_tsv_current	31.1507	2196.1838	2941.7484	0.8670	815/940	verified
2	old_serial_cache30_max40lm	31.080692937248745	2230.89144394743	3032.2371082868494	0.8500	799/940	verified_serial
2	new_promptfix_vllmaudio128	31.29615530949024	2200.937552424937	2951.411320871903	0.8628	811/940	verified_promptfix
3	main_tsv_current	33.2493	2750.7380	3636.8494	0.8638	812/940	verified
3	old_serial_cache30_max40lm	33.29743999126007	2740.098453628366	3758.1347905746675	0.8574	806/940	verified_serial
3	new_promptfix_vllmaudio128	33.01118615623683	2764.3157059922955	3803.588837826288	0.8543	803/940	verified_promptfix
4	main_tsv_current	33.2365	3285.9395	4587.3454	0.8766	824/940	verified
4	old_serial_cache30_max40lm	33.39150067436741	3153.5716995605735	4503.049173964648	0.8809	828/940	verified_serial
4	new_promptfix_vllmaudio128	33.588869858815784	3204.983106426867	4473.12025182137	0.8734	821/940	verified_promptfix
