model	domain	glossary	nohn_recall	nohn_precision	hn_recall	hn_precision	delta_recall	delta_precision
HN256	ACL	raw	97.898424	26.939759	95.738471	33.124621	-2.159953	6.184862
HN256	ACL	1k	97.664917	12.192989	95.680094	14.640464	-1.984823	2.447476
HN256	ACL	10k	94.629306	9.516262	93.228257	9.477745	-1.401049	-0.038517
HN256	tagged	raw	98.758239	15.744818	98.606181	18.133942	-0.152057	2.389124
HN256	tagged	1k	98.732895	12.530151	98.580843	14.048900	-0.152051	1.518749
HN256	tagged	10k	98.074001	9.907580	98.302078	10.031551	0.228077	0.123970
HN256	medicine	raw	94.435215	11.619233	94.019932	12.967524	-0.415283	1.348291
HN256	medicine	1k	94.393688	11.320285	94.019932	12.631814	-0.373757	1.311529
HN256	medicine	10k	94.102991	10.340894	93.812293	11.223172	-0.290698	0.882278
HN1024	ACL	raw	97.898424	26.939759	96.088731	31.911594	-1.809692	4.971835
HN1024	ACL	1k	97.664917	12.192989	96.030354	14.452645	-1.634562	2.259656
HN1024	ACL	10k	94.629306	9.516262	93.111503	9.452412	-1.517802	-0.063850
HN1024	tagged	raw	98.758239	15.744818	98.099339	17.972885	-0.658900	2.228067
HN1024	tagged	1k	98.732895	12.530151	98.099339	13.929972	-0.633556	1.399821
HN1024	tagged	10k	98.074001	9.907580	97.440445	9.962430	-0.633556	0.054850
HN1024	medicine	raw	94.435215	11.619233	93.230897	12.914917	-1.204318	1.295684
HN1024	medicine	1k	94.393688	11.320285	93.189371	12.457669	-1.204318	1.137385
HN1024	medicine	10k	94.102991	10.340894	92.691028	10.903762	-1.411963	0.562868
