budget	model	group	mean_delta_recall	mean_delta_precision	recall_cost
<0.5	HN256	raw+1k	-0.872988	2.533338	0.872988
<0.5	HN256	10k	-0.487890	0.322577	0.487890
<0.5	HN1024	raw+1k	-1.190891	2.215408	1.190891
<0.5	HN1024	10k	-1.187774	0.184623	1.187774
<1.0	HN256	raw+1k	-0.496163	2.369082	0.496163
<1.0	HN256	10k	-0.542994	0.540969	0.542994
<1.0	HN1024	raw+1k	-1.604867	1.997873	1.604867
<1.0	HN1024	10k	-1.584876	0.949017	1.584876
<1.5	HN256	raw+1k	-2.023894	5.852874	2.023894
<1.5	HN256	10k	-2.034905	4.798665	2.034905
<1.5	HN1024	raw+1k	-4.249521	6.302473	4.249521
<1.5	HN1024	10k	-4.202155	6.309402	4.202155
