language	term_type	occurrences	rasst_correct	rasst_accuracy_pct	baseline_correct	baseline_accuracy_pct	delta_percentage_points	gain	loss	both_correct	both_wrong
de	acronym_or_symbolic_name	113	94	83.1858	66	58.4071	24.7788	32	4	62	15
de	multiword_expression	58	47	81.0345	28	48.2759	32.7586	21	2	26	9
de	single_word_term	800	668	83.5000	568	71.0000	12.5000	137	37	531	95
zh	acronym_or_symbolic_name	116	106	91.3793	60	51.7241	39.6552	49	3	57	7
zh	multiword_expression	69	63	91.3043	48	69.5652	21.7391	20	5	43	1
zh	single_word_term	988	890	90.0810	781	79.0486	11.0324	139	30	751	68
ja	acronym_or_symbolic_name	114	102	89.4737	56	49.1228	40.3509	48	2	54	10
ja	multiword_expression	65	53	81.5385	30	46.1538	35.3846	25	2	28	10
ja	single_word_term	943	806	85.4719	681	72.2163	13.2556	167	42	639	95
all	acronym_or_symbolic_name	343	302	88.0466	182	53.0612	34.9854	129	9	173	32
all	multiword_expression	192	163	84.8958	106	55.2083	29.6875	66	9	97	20
all	single_word_term	2731	2364	86.5617	2030	74.3317	12.2300	443	109	1921	258
