dataset	lang	lm	rasst_method	infinisst_method	paired_talks	paired_segments	rasst_xcomet_mean	infinisst_xcomet_mean	delta_rasst_minus_infinisst	paired_delta_stddev	rasst_wins	ties	infinisst_wins
acl_tagged_raw	de	1	RASST	InfiniSST	5	96	0.5801058177	0.6036920647	-0.0235862470	0.1149944746	41	0	55
acl_tagged_raw	de	2	RASST	InfiniSST	5	96	0.6514949165	0.6587706441	-0.0072757276	0.1227353062	47	1	48
acl_tagged_raw	de	3	RASST	InfiniSST	5	96	0.6597411626	0.6628203339	-0.0030791713	0.1027411003	44	0	52
acl_tagged_raw	de	4	RASST	InfiniSST	5	96	0.6414726625	0.6497757289	-0.0083030664	0.0944889378	44	1	51
acl_tagged_raw	ja	1	RASST	InfiniSST	5	96	0.3783205218	0.4534980316	-0.0751775097	0.1710055661	31	0	65
acl_tagged_raw	ja	2	RASST	InfiniSST	5	96	0.5211823766	0.5521380627	-0.0309556861	0.1670556839	37	0	59
acl_tagged_raw	ja	3	RASST	InfiniSST	5	96	0.5886098404	0.5657749704	0.0228348701	0.1513378826	58	0	38
acl_tagged_raw	ja	4	RASST	InfiniSST	5	96	0.6000773466	0.5654741053	0.0346032413	0.1701544015	57	0	39
acl_tagged_raw	zh	1	RASST	InfiniSST	5	96	0.5000164959	0.5290285242	-0.0290120283	0.1088407319	37	1	58
acl_tagged_raw	zh	2	RASST	InfiniSST	5	96	0.5844445924	0.5841245679	0.0003200245	0.1207473470	44	0	52
acl_tagged_raw	zh	3	RASST	InfiniSST	5	96	0.6203114785	0.6084034995	0.0119079789	0.0967926976	50	1	45
acl_tagged_raw	zh	4	RASST	InfiniSST	5	96	0.6139478991	0.6106110622	0.0033368369	0.0957020477	45	0	51
