dataset	method	lang	lm	talks	segments	xcomet_mean	xcomet_mean_x100	xcomet_talk_macro_mean	model_id	model_revision	scoring_config_sha256	instances_log_sha256
acl_tagged_raw	InfiniSST	zh	1	5	96	0.5290285242	52.9028524179	0.5266082399	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	459739ece45835f10e6690c23d1a07d42550eea09182be82b6b38e7ae9a0d804
acl_tagged_raw	InfiniSST	zh	2	5	96	0.5841245679	58.4124567918	0.5853607592	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	9d3f95e59d2de02ef719056baed94142231cb288e5c693d14dd540b33505a04a
acl_tagged_raw	InfiniSST	zh	3	5	96	0.6084034995	60.8403499549	0.6062262621	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	f375a44086977ffec42ee665a2b2e8c8890d9efaa299d5dd73c5ba4c7d2e042a
acl_tagged_raw	InfiniSST	zh	4	5	96	0.6106110622	61.0611062186	0.6090484174	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	83393cda0d7b91be327a52d44138f270038cd4e79cdd082c4ee89633b0430632
acl_tagged_raw	InfiniSST	ja	1	5	96	0.4534980316	45.3498031556	0.4509199600	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	92c58e0591fb30caee8d260d685df137b29193b1a98a25f50f60236f8bad5ed3
acl_tagged_raw	InfiniSST	ja	2	5	96	0.5521380627	55.2138062660	0.5487773082	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	492a1e6d09320d727e382ad187e04527f7717cd9326bf87a8c890c529be906a3
acl_tagged_raw	InfiniSST	ja	3	5	96	0.5657749704	56.5774970377	0.5653536659	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	a37d6cc96b4f7c40a1ebd4189105c4ce83862ce646564d79517c30dc0a40913d
acl_tagged_raw	InfiniSST	ja	4	5	96	0.5654741053	56.5474105300	0.5631300179	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	6237e2fce30d750c0980cfd77cb9e02a3c72a5942589553a6ed3c68c21d8dd85
acl_tagged_raw	InfiniSST	de	1	5	96	0.6036920647	60.3692064683	0.6011990036	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	7478ad63421eb50673ffff795fb201872a0670d588a4d279f3a81ff1e5b504c3
acl_tagged_raw	InfiniSST	de	2	5	96	0.6587706441	65.8770644106	0.6557829592	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	f1ab08fd6f4f9cbe47605db9de5a433eea1da6e5bf25a67aa4e67c9805bf4084
acl_tagged_raw	InfiniSST	de	3	5	96	0.6628203339	66.2820333925	0.6642175554	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	7c5fd2759cd082c07b290ee01d18b4d768368b40249442cee0d686bb820bb6cc
acl_tagged_raw	InfiniSST	de	4	5	96	0.6497757289	64.9775728894	0.6468179603	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	3ebec98e9c6c131e0f0af821a8af992b188c81eff274b928c03c8de1fda1f7b6
acl_tagged_raw	RASST	de	1	5	96	0.5801058177	58.0105817722	0.5761689641	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	76fce356194b576a62305c42fb845637eb71651e0444ee229eba4db0debb671d
acl_tagged_raw	RASST	de	2	5	96	0.6514949165	65.1494916528	0.6490766248	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	5eb6676363e2d0d8c77c5a482f36a93268812364433ba85c605b2a69818e58bc
acl_tagged_raw	RASST	de	3	5	96	0.6597411626	65.9741162633	0.6607349314	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	c5e6b58a73426a6f8f55c7250fdc0b15cc873c2ed9d05a364e08ad76746e1aba
acl_tagged_raw	RASST	de	4	5	96	0.6414726625	64.1472662489	0.6385800557	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	b77a8de32f5424ad41209ef039f9b51c360d79961c209ed348715bb1af3ff0f7
acl_tagged_raw	RASST	ja	1	5	96	0.3783205218	37.8320521830	0.3783619187	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	ad0e1bf45c3fbf108bd22affe645f61306cbf39cc798c4325afacabd17fab57c
acl_tagged_raw	RASST	ja	2	5	96	0.5211823766	52.1182376581	0.5153492223	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	40ca5595bdc5aee31ba493d1f3cac8970420a36dcaa7b467cb73bd6307835536
acl_tagged_raw	RASST	ja	3	5	96	0.5886098404	58.8609840449	0.5855887256	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	2c4c25f3c8936303c43a24e4942c43641a19c3b02320b2636c14e66665df95fd
acl_tagged_raw	RASST	ja	4	5	96	0.6000773466	60.0077346588	0.5943074665	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	3220c4e37b120dacaa1dae80065631bac54ad39ee2c171c5023e4c56b36e1d39
acl_tagged_raw	RASST	zh	1	5	96	0.5000164959	50.0016495896	0.4970125646	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	823a86f4d4f882c0b9ecd3659bbadc1f50f2c163c0d527ec9fb496d6fea71740
acl_tagged_raw	RASST	zh	2	5	96	0.5844445924	58.4444592396	0.5809865712	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	e04eff40821b9d54fafdcb95c2c1cbc11e6ef251c35825e21d664e0fd5a755a7
acl_tagged_raw	RASST	zh	3	5	96	0.6203114785	62.0311478463	0.6188112195	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	a43b5715489a41bdb1e88c45ff737104bf991e14d555f77e1fcc13a6894723b9
acl_tagged_raw	RASST	zh	4	5	96	0.6139478991	61.3947899081	0.6114605557	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	a194fc21df6e8e8c459376e1c7cf427278689e3bb4253a15a98d843977c126a1	e3c75681642f44c3ae5b2d770d473f1347bad84205f6e0d062e4b6601dd2d827
