dataset	lang	lm	rasst_method	infinisst_method	paired_talks	paired_segments	rasst_xcomet_mean	infinisst_xcomet_mean	delta_rasst_minus_infinisst	paired_delta_stddev	rasst_wins	ties	infinisst_wins
acl_tagged_raw	de	1	RASST	InfiniSST	5	468	0.8225077802	0.8161603537	0.0063474265	0.1809486504	230	15	223
acl_tagged_raw	de	2	RASST	InfiniSST	5	468	0.8373583819	0.8422655178	-0.0049071360	0.1440315712	221	19	228
acl_tagged_raw	de	3	RASST	InfiniSST	5	468	0.8334940838	0.8323405015	0.0011535822	0.1659338041	240	9	219
acl_tagged_raw	de	4	RASST	InfiniSST	5	468	0.8220600519	0.8244526687	-0.0023926168	0.1315544634	211	27	230
acl_tagged_raw	ja	1	RASST	InfiniSST	5	468	0.5915268219	0.6325607745	-0.0410339526	0.2942452704	198	10	260
acl_tagged_raw	ja	2	RASST	InfiniSST	5	468	0.7037905372	0.7265527629	-0.0227622257	0.2856955001	208	15	245
acl_tagged_raw	ja	3	RASST	InfiniSST	5	468	0.7578508853	0.7509102591	0.0069406262	0.2297896012	231	28	209
acl_tagged_raw	ja	4	RASST	InfiniSST	5	468	0.7764698653	0.7313445979	0.0451252673	0.2790442194	253	22	193
acl_tagged_raw	zh	1	RASST	InfiniSST	5	468	0.7811825977	0.7803933207	0.0007892770	0.1758934194	218	24	226
acl_tagged_raw	zh	2	RASST	InfiniSST	5	468	0.8234653954	0.8220235892	0.0014418062	0.1511048574	219	30	219
acl_tagged_raw	zh	3	RASST	InfiniSST	5	468	0.8510496726	0.8414253235	0.0096243491	0.1315526933	233	36	199
acl_tagged_raw	zh	4	RASST	InfiniSST	5	468	0.8437427809	0.8301729079	0.0135698731	0.1462838527	229	36	203
medicine_hardraw	de	1	RASST	InfiniSST	5	1437	0.7087794442	0.7644106817	-0.0556312375	0.2435223088	568	43	826
medicine_hardraw	de	2	RASST	InfiniSST	5	1437	0.7750684099	0.7871020436	-0.0120336337	0.1955981047	646	55	736
medicine_hardraw	de	3	RASST	InfiniSST	5	1437	0.7698811043	0.7836947244	-0.0138136202	0.1986097558	598	55	784
medicine_hardraw	de	4	RASST	InfiniSST	5	1437	0.7838625901	0.7864331029	-0.0025705128	0.1757142531	643	70	724
