dataset	method	lang	lm	talks	segments	xcomet_mean	xcomet_mean_x100	xcomet_talk_macro_mean	model_id	model_revision	scoring_config_sha256	instances_log_sha256
acl_tagged_raw	InfiniSST	zh	1	5	468	0.7803933207	78.0393320685	0.7782762178	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	459739ece45835f10e6690c23d1a07d42550eea09182be82b6b38e7ae9a0d804
acl_tagged_raw	InfiniSST	zh	2	5	468	0.8220235892	82.2023589244	0.8225022719	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	9d3f95e59d2de02ef719056baed94142231cb288e5c693d14dd540b33505a04a
acl_tagged_raw	InfiniSST	zh	3	5	468	0.8414253235	84.1425323525	0.8384397235	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	f375a44086977ffec42ee665a2b2e8c8890d9efaa299d5dd73c5ba4c7d2e042a
acl_tagged_raw	InfiniSST	zh	4	5	468	0.8301729079	83.0172907864	0.8282898847	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	83393cda0d7b91be327a52d44138f270038cd4e79cdd082c4ee89633b0430632
acl_tagged_raw	InfiniSST	ja	1	5	468	0.6325607745	63.2560774477	0.6327762160	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	92c58e0591fb30caee8d260d685df137b29193b1a98a25f50f60236f8bad5ed3
acl_tagged_raw	InfiniSST	ja	2	5	468	0.7265527629	72.6552762887	0.7219581772	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	492a1e6d09320d727e382ad187e04527f7717cd9326bf87a8c890c529be906a3
acl_tagged_raw	InfiniSST	ja	3	5	468	0.7509102591	75.0910259146	0.7496616958	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	a37d6cc96b4f7c40a1ebd4189105c4ce83862ce646564d79517c30dc0a40913d
acl_tagged_raw	InfiniSST	ja	4	5	468	0.7313445979	73.1344597939	0.7287925032	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	6237e2fce30d750c0980cfd77cb9e02a3c72a5942589553a6ed3c68c21d8dd85
acl_tagged_raw	InfiniSST	de	1	5	468	0.8161603537	81.6160353681	0.8145898150	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	7478ad63421eb50673ffff795fb201872a0670d588a4d279f3a81ff1e5b504c3
acl_tagged_raw	InfiniSST	de	2	5	468	0.8422655178	84.2265517825	0.8432257859	Unbabel/XCOMET-XXL	873bac1b1c461e410c4a6e379f6790d3d1c7c214	d64f05d42ec971cca84771dc0232c45681bedb13a7b89b0500867aefa917a3ae	f1ab08fd6f4f9cbe47605db9de5a433eea1da6e5bf25a67aa4e67c9805bf4084
